username,key1,key2,time
Terash,'i',Key.space,0.247718573
Terash,Key.space,'l',0.232974768
Terash,'l','o',0.212484121
Terash,'o','v',0.806222439
Terash,'v','e',0.187288523
Terash,'e',Key.space,0.669691324
Terash,Key.space,'p',0.421419859
Terash,'p','r',0.338570595
Terash,'r','o',0.66891551
Terash,'o','g',1.059864998
Terash,'g','r',0.2376647
Terash,'r','a',0.319415808
Terash,'a','m',0.233284235
Terash,'m','i',0.532415867
Terash,'i','n',0.325168133
Terash,'n','g',0.186781883
Terash,'i',Key.space,0.233232021
Terash,Key.space,'l',0.329604387
Terash,'l','o',0.203566551
Terash,'o','v',0.54715848
Terash,'v','e',0.208698034
Terash,'e',Key.space,0.638986588
Terash,Key.space,'p',0.496902227
Terash,'p','r',0.268703222
Terash,'r','o',0.415442705
Terash,'o','g',0.552902222
Terash,'g','r',0.694045305
Terash,'r','a',1.003855705
Terash,'a','m',0.22432375
Terash,'m','i',0.278093815
Terash,'i','n',0.278951645
Terash,'n','g',0.294089556
Guest,'i',Key.space,0.476594925
Guest,Key.space,'l',0.948123455
Guest,'l','o',0.279388189
Guest,'o','v',0.607892036
Guest,'v','e',0.379937649
Guest,'e',Key.space,0.562724829
Guest,Key.space,'p',0.518249989
Guest,'p','r',0.637495279
Guest,'r','o',0.506929874
Guest,'o','g',0.674930334
Guest,'g','r',0.344126701
Guest,'r','a',0.507160664
Guest,'a','m',0.694087505
Guest,'m','i',0.335415363
Guest,'i','n',0.394470453
Guest,'n','g',0.582479239
Terash,'i',Key.space,0.20320701599121094
Terash,Key.space,'l',0.2275686264038086
Terash,'l','o',0.19305062294006348
Terash,'o','v',0.24454283714294434
Terash,'v','e',0.2029869556427002
Terash,'e',Key.space,0.44083189964294434
Terash,Key.space,'p',0.46581268310546875
Terash,'p','r',0.502424955368042
Terash,'r','o',0.5370819568634033
Terash,'o','g',0.8312733173370361
Terash,'g','r',0.2887594699859619
Terash,'r','a',0.846174955368042
Terash,'a','m',0.21900248527526855
Terash,'m','i',0.24400782585144043
Terash,'i','n',0.289107084274292
Terash,'n','g',0.24779462814331055
Terash,'g',Key.space,0.2584524154663086
Terash,Key.space,'s',0.42148613929748535
Terash,'s','o',0.28310704231262207
Terash,'o',Key.space,0.2485342025756836
Terash,Key.space,'m',0.2584211826324463
Terash,'m','u',0.2735714912414551
Terash,'u','c',0.32454419136047363
Terash,'c','h',0.2792215347290039
Guest,'i',Key.space,0.4613499641418457
Guest,Key.space,'l',0.4317641258239746
Guest,'l','o',0.1971759796142578
Guest,'o','v',0.5928804874420166
Guest,'v','e',0.36984872817993164
Guest,'e',Key.space,0.5275058746337891
Guest,Key.space,'p',0.6226282119750977
Guest,'p','r',0.7253623008728027
Guest,'r','o',0.5526289939880371
Guest,'o','g',0.8004848957061768
Guest,'g','r',0.41054797172546387
Guest,'r','a',0.4506349563598633
Guest,'a','m',0.5529980659484863
Guest,'m','i',0.5677411556243896
Guest,'i','n',0.37540173530578613
Guest,'n','g',0.471116304397583
Guest,'g',Key.space,0.5523738861083984
Guest,Key.space,'s',1.4145042896270752
Guest,'s','o',0.48720693588256836
Guest,'o',Key.space,0.6221351623535156
Guest,Key.space,'m',0.4867215156555176
Guest,'m','u',0.38985323905944824
Guest,'u','c',0.5575542449951172
Guest,'c','h',0.4362778663635254
Guest,'i',Key.space,0.4512355327606201
Guest,Key.space,'l',0.3960428237915039
Guest,'l','o',0.23220133781433105
Guest,'o','v',0.5480465888977051
Guest,'v','e',0.37970590591430664
Guest,'e',Key.space,0.4618806838989258
Guest,Key.space,'p',0.6835975646972656
Guest,'p','r',0.6591567993164062
Guest,'r','o',0.5575230121612549
Guest,'o','g',0.7145290374755859
Guest,'g','r',0.5977621078491211
Guest,'r','a',0.8664519786834717
Guest,'a','m',0.6489572525024414
Guest,'m','i',0.32932496070861816
Guest,'i','n',0.8171677589416504
Guest,'n','g',0.8053524494171143
Guest,'g',Key.space,0.7544572353363037
Guest,Key.space,'s',0.822115421295166
Guest,'s','o',0.5418746471405029
Guest,'o',Key.space,0.38001203536987305
Guest,Key.space,'m',0.2884054183959961
Guest,'m','u',0.32989072799682617
Guest,'u','c',0.6075077056884766
Guest,'c','h',0.6798145771026611
